"","version","doi","v1","v2","v3","v4","v5","v6"
"3352","1.0 (2020-11-30)","doi:10.11587/7PFLIU",3352,"schmähdreschen",1.39999997615814,0.843274056911469,2,2
"3353","1.0 (2020-11-30)","doi:10.11587/7PFLIU",3353,"schmähstad",2,1.24721908569336,2,2
"3354","1.0 (2020-11-30)","doi:10.11587/7PFLIU",3354,"schmähtandler",2.5,1,3,3
"3355","1.0 (2020-11-30)","doi:10.11587/7PFLIU",3355,"schmälern",1.75,1.13818037509918,3,3
"3356","1.0 (2020-11-30)","doi:10.11587/7PFLIU",3356,"schnalzen",2.95000004768372,0.604805290699005,3,3
"3357","1.0 (2020-11-30)","doi:10.11587/7PFLIU",3357,"schnappen",1.45454549789429,1.69491219520569,0,0
"3358","1.0 (2020-11-30)","doi:10.11587/7PFLIU",3358,"schnapsidee",2.44545459747314,0.953856110572815,3,3
"3359","1.0 (2020-11-30)","doi:10.11587/7PFLIU",3359,"schneckentempo",2.09090900421143,1.22102785110474,2,2
"3360","1.0 (2020-11-30)","doi:10.11587/7PFLIU",3360,"schnellschuss",1.66666662693024,1.49747264385223,2,0
"3361","1.0 (2020-11-30)","doi:10.11587/7PFLIU",3361,"schnitt",1.78205132484436,1.4651575088501,3,3
"3362","1.0 (2020-11-30)","doi:10.11587/7PFLIU",3362,"schnorrbrief",2.34999990463257,1.03998982906342,3,3
"3363","1.0 (2020-11-30)","doi:10.11587/7PFLIU",3363,"schnorren",2.20000004768372,1.06350100040436,3,3
"3364","1.0 (2020-11-30)","doi:10.11587/7PFLIU",3364,"schnörkel",1.36363637447357,1.36181700229645,0,0
"3365","1.0 (2020-11-30)","doi:10.11587/7PFLIU",3365,"schnüffelaffäre",2.59999990463257,1.26491105556488,3,3
"3366","1.0 (2020-11-30)","doi:10.11587/7PFLIU",3366,"schnüffelei",2.93333339691162,0.520830452442169,3,3
"3367","1.0 (2020-11-30)","doi:10.11587/7PFLIU",3367,"schock",2.30588245391846,1.24425852298737,3,3
"3368","1.0 (2020-11-30)","doi:10.11587/7PFLIU",3368,"schockieren",2.41379308700562,1.21058547496796,3,3
"3369","1.0 (2020-11-30)","doi:10.11587/7PFLIU",3369,"schockierend",2.75,1.05163311958313,3,3
"3370","1.0 (2020-11-30)","doi:10.11587/7PFLIU",3370,"schockiert",2.24137926101685,1.36767625808716,3,3
"3371","1.0 (2020-11-30)","doi:10.11587/7PFLIU",3371,"schonungslos",1.5,1.31425750255585,3,0
"3372","1.0 (2020-11-30)","doi:10.11587/7PFLIU",3372,"schoßhund",1.70370376110077,1.53960072994232,0,0
"3373","1.0 (2020-11-30)","doi:10.11587/7PFLIU",3373,"schoßhündchen",2.10526323318481,1.1969747543335,3,3
